filename,detected_abbr,hebrew_name,common_name,full_name,matched_alias,snippet
TS1998 HTML on 4 December 2011 Ver1.13_split_000.htm.txt,,,,,,The
TS1998 HTML on 4 December 2011 Ver1.13_split_001.htm.txt,,,,,,Copyright Portions
TS1998 HTML on 4 December 2011 Ver1.13_split_002.htm.txt,,,,,,The Scriptures(c)
TS1998 HTML on 4 December 2011 Ver1.13_split_003.htm.txt,Gen,Bereshith,Genesis,Bereshith (Genesis),genesis,Berĕshith/Genesis Gen
TS1998 HTML on 4 December 2011 Ver1.13_split_004.htm.txt,Gen,Bereshith,Genesis,Bereshith (Genesis),gen,Gen 27:39  And Yitsḥaq his father
TS1998 HTML on 4 December 2011 Ver1.13_split_005.htm.txt,Exod,Shemoth,Exodus,Shemoth (Exodus),shemoth,Shemoth/Exodus Exod
TS1998 HTML on 4 December 2011 Ver1.13_split_006.htm.txt,Exod,Shemoth,Exodus,Shemoth (Exodus),exod,Exod 22:26  “If you take your neighbour’s
TS1998 HTML on 4 December 2011 Ver1.13_split_007.htm.txt,Lev,Wayiqra,Leviticus,Wayiqra (Leviticus),leviticus,Wayyiqra/Leviticus Lev
TS1998 HTML on 4 December 2011 Ver1.13_split_008.htm.txt,Num,Bemiḏbar,Numbers,Bemiḏbar (Numbers),bemiḏbar,Bemiḏbar/Numbers Num
TS1998 HTML on 4 December 2011 Ver1.13_split_009.htm.txt,Num,Bemiḏbar,Numbers,Bemiḏbar (Numbers),num,Num 17:5  “And it shall be that the rod of
TS1998 HTML on 4 December 2011 Ver1.13_split_010.htm.txt,Deut,Deḇarim,Deuteronomy,Deḇarim (Deuteronomy),deuteronomy,Deḇarim/Deuteronomy Deut
TS1998 HTML on 4 December 2011 Ver1.13_split_011.htm.txt,Deut,Deḇarim,Deuteronomy,Deḇarim (Deuteronomy),deut,Deut 17:8  “When any matter arises which is
TS1998 HTML on 4 December 2011 Ver1.13_split_012.htm.txt,Josh,Yehoshua,Joshua,Yehoshua (Joshua),yehoshua,Yehoshua/Joshua Josh
TS1998 HTML on 4 December 2011 Ver1.13_split_013.htm.txt,Judg,Shophetim,Judges,Shophetim (Judges),shophetim,Shophetim/Judges Judges
TS1998 HTML on 4 December 2011 Ver1.13_split_014.htm.txt,Ruth,Ruth,Ruth,Ruth (Ruth),ruth,Ruth Ruth
TS1998 HTML on 4 December 2011 Ver1.13_split_015.htm.txt,1Sam,Shemu’ĕl 1,1 Samuel,Shemu’ĕl 1 (1 Samuel),1 samuel,Shemu’ĕl Aleph/1 Samuel 1Sam
TS1998 HTML on 4 December 2011 Ver1.13_split_016.htm.txt,2Sam,Shemu’ĕl 2,2 Samuel,Shemu’ĕl 2 (2 Samuel),2 samuel,Shemu’ĕl Bĕt/2 Samuel 2Sam
TS1998 HTML on 4 December 2011 Ver1.13_split_017.htm.txt,1Kgs,Melaḵim 1,1 Kings,Melaḵim 1 (1 Kings),1 kings,Melaḵim Aleph/1 Kings 1Kings
TS1998 HTML on 4 December 2011 Ver1.13_split_018.htm.txt,2Kgs,Melaḵim 2,2 Kings,Melaḵim 2 (2 Kings),2 kings,Melaḵim Bĕt/2 Kings 2Kings
TS1998 HTML on 4 December 2011 Ver1.13_split_019.htm.txt,1Chr,Diḇrĕ haYamim 1,1 Chronicles,Diḇrĕ haYamim 1 (1 Chronicles),1 chronicles,Diḇre haYamim Aleph/1 Chronicles
TS1998 HTML on 4 December 2011 Ver1.13_split_020.htm.txt,2Chr,Diḇrĕ haYamim 2,2 Chronicles,Diḇrĕ haYamim 2 (2 Chronicles),2 chronicles,Diḇre haYamim Bĕt/2 Chronicles
TS1998 HTML on 4 December 2011 Ver1.13_split_021.htm.txt,Ezra,Ezra,Ezra,Ezra (Ezra),ezra,Ezra Ezra
TS1998 HTML on 4 December 2011 Ver1.13_split_022.htm.txt,Neh,Neḥemyah,Nehemiah,Neḥemyah (Nehemiah),nehemiah,Neḥemyah/Nehemiah Nehem
TS1998 HTML on 4 December 2011 Ver1.13_split_023.htm.txt,Esth,Estĕr,Esther,Estĕr (Esther),esther,Estĕr/Esther Esther
TS1998 HTML on 4 December 2011 Ver1.13_split_024.htm.txt,Job,Iyoḇ,Job,Iyoḇ (Job),iyoḇ,Iyoḇ/Job Job
TS1998 HTML on 4 December 2011 Ver1.13_split_025.htm.txt,Ps,Tehillim,Psalms,Tehillim (Psalms),tehillim,Tehillim/Psalms Psalm
TS1998 HTML on 4 December 2011 Ver1.13_split_026.htm.txt,Ps,Tehillim,Psalms,Tehillim (Psalms),psalm,Psalm 78:57  But they turned back And acted
TS1998 HTML on 4 December 2011 Ver1.13_split_027.htm.txt,Prov,Mishlĕ,Proverbs,Mishlĕ (Proverbs),proverbs,Mishlĕ/Proverbs Prov
TS1998 HTML on 4 December 2011 Ver1.13_split_028.htm.txt,Eccl,Qoheleth,Ecclesiastes,Qoheleth (Ecclesiastes),ecclesiastes,Qoheleth/Ecclesiastes Eccl
TS1998 HTML on 4 December 2011 Ver1.13_split_029.htm.txt,Song,Shir haShirim,Song of Songs,Shir haShirim (Song of Songs),shir hashirim,Shir haShirim/Song of Songs Song
TS1998 HTML on 4 December 2011 Ver1.13_split_030.htm.txt,Isa,Yeshayahu,Isaiah,Yeshayahu (Isaiah),yeshayahu,Yeshayahu/Isaiah Isaiah
TS1998 HTML on 4 December 2011 Ver1.13_split_031.htm.txt,Isa,Yeshayahu,Isaiah,Yeshayahu (Isaiah),isaiah,Isaiah 33:22  for יהוה
TS1998 HTML on 4 December 2011 Ver1.13_split_032.htm.txt,Jer,Yirmeyahu,Jeremiah,Yirmeyahu (Jeremiah),yirmeyahu,Yirmeyahu/Jeremiah Jer
TS1998 HTML on 4 December 2011 Ver1.13_split_033.htm.txt,Jer,Yirmeyahu,Jeremiah,Yirmeyahu (Jeremiah),jer,Jer 28:11  And Ḥananyah spoke in the
TS1998 HTML on 4 December 2011 Ver1.13_split_034.htm.txt,Lam,Ĕyḵah,Lamentations,Ĕyḵah (Lamentations),lamentations,Ĕḵah/Lamentations Lam
TS1998 HTML on 4 December 2011 Ver1.13_split_035.htm.txt,Ezek,Yeḥezqĕl,Ezekiel,Yeḥezqĕl (Ezekiel),ezekiel,Yeḥezqĕl /Ezekiel Ezek
TS1998 HTML on 4 December 2011 Ver1.13_split_036.htm.txt,Ezek,Yeḥezqĕl,Ezekiel,Yeḥezqĕl (Ezekiel),ezek,Ezek 26:1  And it came to be in the eleventh
TS1998 HTML on 4 December 2011 Ver1.13_split_037.htm.txt,Dan,Dani’ĕl,Daniel,Dani’ĕl (Daniel),dani’ĕl,Dani’ĕl/Daniel Dan
TS1998 HTML on 4 December 2011 Ver1.13_split_038.htm.txt,Hos,Hoshĕa,Hosea,Hoshĕa (Hosea),hoshĕa,Hoshĕa/Hosea Hos
TS1998 HTML on 4 December 2011 Ver1.13_split_039.htm.txt,Joel,Yo’ĕl,Joel,Yo’ĕl (Joel),yo’ĕl,Yo’ĕl/Joel Joel
TS1998 HTML on 4 December 2011 Ver1.13_split_040.htm.txt,Amos,Amos,Amos,Amos (Amos),amos,Amos Amos
TS1998 HTML on 4 December 2011 Ver1.13_split_041.htm.txt,Obad,Oḇaḏyah,Obadiah,Oḇaḏyah (Obadiah),oḇaḏyah,Oḇaḏyah/Obadiah Obad
TS1998 HTML on 4 December 2011 Ver1.13_split_042.htm.txt,Jonah,Yonah,Jonah,Yonah (Jonah),jonah,Yonah/Jonah Jonah
TS1998 HTML on 4 December 2011 Ver1.13_split_043.htm.txt,Mic,Miḵah,Micah,Miḵah (Micah),miḵah,Miḵah/Micah Micah
TS1998 HTML on 4 December 2011 Ver1.13_split_044.htm.txt,Nah,Naḥum,Nahum,Naḥum (Nahum),nahum,Naḥum/Nahum Nahum
TS1998 HTML on 4 December 2011 Ver1.13_split_045.htm.txt,Hab,Ḥaḇaqquq,Habakkuk,Ḥaḇaqquq (Habakkuk),ḥaḇaqquq,Ḥaḇaqquq/Habakkuk Hab
TS1998 HTML on 4 December 2011 Ver1.13_split_046.htm.txt,Zeph,Tsephanyah,Zephaniah,Tsephanyah (Zephaniah),tsephanyah,Tsephanyah/Zephaniah Zeph
TS1998 HTML on 4 December 2011 Ver1.13_split_047.htm.txt,Hag,Ḥaggai,Haggai,Ḥaggai (Haggai),ḥaggai,Ḥaggai/Haggai Hag
TS1998 HTML on 4 December 2011 Ver1.13_split_048.htm.txt,Zech,Zeḵaryah,Zechariah,Zeḵaryah (Zechariah),zechariah,Zeḵaryah/Zechariah Zech
TS1998 HTML on 4 December 2011 Ver1.13_split_049.htm.txt,Mal,Mal’aḵi,Malachi,Mal’aḵi (Malachi),mal’aḵi,Mal’aḵi/Malachi Mal
TS1998 HTML on 4 December 2011 Ver1.13_split_050.htm.txt,Matt,Mattithyahu,Matthew,Mattithyahu (Matthew),mattithyahu,Mattithyahu/Matthew Mat
TS1998 HTML on 4 December 2011 Ver1.13_split_051.htm.txt,Mark,Marqos,Mark,Marqos (Mark),marqos,Marqos/Mark Mar
TS1998 HTML on 4 December 2011 Ver1.13_split_052.htm.txt,Luke,Luqas,Luke,Luqas (Luke),luqas,Luqas/Luke Luk
TS1998 HTML on 4 December 2011 Ver1.13_split_053.htm.txt,,,,,,Luk 12:10  “And everyone who shall speak a
TS1998 HTML on 4 December 2011 Ver1.13_split_054.htm.txt,John,Yoḥanan,John,Yoḥanan (John),john,Yoḥanan/John John
TS1998 HTML on 4 December 2011 Ver1.13_split_055.htm.txt,Acts,Ma`aseh,Acts,Ma`aseh (Acts),acts,Ma`asei/Acts Acts
TS1998 HTML on 4 December 2011 Ver1.13_split_056.htm.txt,Rom,Romiyim,Romans,Romiyim (Romans),romiyim,Romiyim/Romans Rom
TS1998 HTML on 4 December 2011 Ver1.13_split_057.htm.txt,1Cor,Qorintiyim 1,1 Corinthians,Qorintiyim 1 (1 Corinthians),1 corinthians,Qorintiyim Aleph/1 Corinthians 1Cor
TS1998 HTML on 4 December 2011 Ver1.13_split_058.htm.txt,2Cor,Qorintiyim 2,2 Corinthians,Qorintiyim 2 (2 Corinthians),2 corinthians,Qorintiyim Bĕt/2 Corinthians 2Cor
TS1998 HTML on 4 December 2011 Ver1.13_split_059.htm.txt,Gal,Galatiyim,Galatians,Galatiyim (Galatians),galatiyim,Galatiyim/Galatians Gal
TS1998 HTML on 4 December 2011 Ver1.13_split_060.htm.txt,Eph,Ephsiyim,Ephesians,Ephsiyim (Ephesians),ephesians,Eph`siyim/Ephesians Eph
TS1998 HTML on 4 December 2011 Ver1.13_split_061.htm.txt,Phil,Pilipiyim,Philippians,Pilipiyim (Philippians),philippians,Pilipiyim/Philippians Philip
TS1998 HTML on 4 December 2011 Ver1.13_split_062.htm.txt,Col,Qolasim,Colossians,Qolasim (Colossians),colossians,Qolasim/Colossians Col
TS1998 HTML on 4 December 2011 Ver1.13_split_063.htm.txt,1Thess,Tas'loniqim 1,1 Thessalonians,Tas'loniqim 1 (1 Thessalonians),1 thessalonians,Tas`loniqim Aleph/1 Thessalonians 1Thes
TS1998 HTML on 4 December 2011 Ver1.13_split_064.htm.txt,2Thess,Tas'loniqim 2,2 Thessalonians,Tas'loniqim 2 (2 Thessalonians),2 thessalonians,Tas`loniqim Bĕt/2 Thessalonians
TS1998 HTML on 4 December 2011 Ver1.13_split_065.htm.txt,1Tim,Timotiyos 1,1 Timothy,Timotiyos 1 (1 Timothy),1 timothy,Timotiyos Aleph/1 Timothy 1Tim
TS1998 HTML on 4 December 2011 Ver1.13_split_066.htm.txt,2Tim,Timotiyos 2,2 Timothy,Timotiyos 2 (2 Timothy),2 timothy,Timotiyos Bĕt/2 Timothy 2Tim
TS1998 HTML on 4 December 2011 Ver1.13_split_067.htm.txt,Titus,Titos,Titus,Titos (Titus),titus,Titos/Titus Titus
TS1998 HTML on 4 December 2011 Ver1.13_split_068.htm.txt,Philem,Pilemon,Philemon,Pilemon (Philemon),philemon,Pileymon/Philemon Philemon
TS1998 HTML on 4 December 2011 Ver1.13_split_069.htm.txt,Heb,Iḇ'rim,Hebrews,Iḇ'rim (Hebrews),hebrews,Iḇ`rim/Hebrews Hebrew
TS1998 HTML on 4 December 2011 Ver1.13_split_070.htm.txt,James,Ya`aqoḇ,James,Ya`aqoḇ (James),james,Ya‛aqoḇ/James James
TS1998 HTML on 4 December 2011 Ver1.13_split_071.htm.txt,1Pet,Kĕpha 1,1 Peter,Kĕpha 1 (1 Peter),1 peter,Kĕpha Aleph/1 Peter 1Pet
TS1998 HTML on 4 December 2011 Ver1.13_split_072.htm.txt,2Pet,Kĕpha 2,2 Peter,Kĕpha 2 (2 Peter),2 peter,Kĕpha Bĕt/2 Peter 2Pet
TS1998 HTML on 4 December 2011 Ver1.13_split_073.htm.txt,1John,Yoḥanan 1,1 John,Yoḥanan 1 (1 John),1 john,Yoḥanan Aleph/1 John 1John
TS1998 HTML on 4 December 2011 Ver1.13_split_074.htm.txt,2John,Yoḥanan 2,2 John,Yoḥanan 2 (2 John),2 john,Yoḥanan Bĕt/2 John 2John
TS1998 HTML on 4 December 2011 Ver1.13_split_075.htm.txt,3John,Yoḥanan 3,3 John,Yoḥanan 3 (3 John),3 john,Yoḥanan Gimel/3 John 3John
TS1998 HTML on 4 December 2011 Ver1.13_split_076.htm.txt,Jude,Yehuḏah,Jude,Yehuḏah (Jude),yehuḏah,Yehuḏah/Jude Jude
TS1998 HTML on 4 December 2011 Ver1.13_split_077.htm.txt,Rev,Ḥazon,Revelation,Ḥazon (Revelation),revelation,Ḥazon/Revelation Rev
titlepage.xhtml.txt,,,,,,
